episode,title,publishedAt,durationSeconds,durationMinutes,guid,audioUrl,appleUrl
1,アイドルオタクvsギャルゲーオタク 史上最小の戦い,2023-04-06,2391,40,dcfdf66c-d42b-11ed-b234-2b8a8c14e198,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS5698224794.mp3?updated=1680753906,https://podcasts.apple.com/jp/podcast/1-%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E3%82%AA%E3%82%BF%E3%82%AFvs%E3%82%AE%E3%83%A3%E3%83%AB%E3%82%B2%E3%83%BC%E3%82%AA%E3%82%BF%E3%82%AF-%E5%8F%B2%E4%B8%8A%E6%9C%80%E5%B0%8F%E3%81%AE%E6%88%A6%E3%81%84/id1680512344?i=1000607684249&uo=4
2,続 エロゲオタクvsアイドルオタク　大山覚醒篇,2023-04-13,3061,51,14a534f0-d999-11ed-8cc6-8bae26bfed95,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS5318656921.mp3?updated=1681349649,https://podcasts.apple.com/jp/podcast/2-%E7%B6%9A-%E3%82%A8%E3%83%AD%E3%82%B2%E3%82%AA%E3%82%BF%E3%82%AFvs%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E3%82%AA%E3%82%BF%E3%82%AF-%E5%A4%A7%E5%B1%B1%E8%A6%9A%E9%86%92%E7%AF%87/id1680512344?i=1000608769102&uo=4
3,櫻坂46 3rd TOUR 前夜の戦い,2023-04-20,2860,48,b4c7070e-df3b-11ed-84e0-ffb4a148a164,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS5188026081.mp3?updated=1681972068,https://podcasts.apple.com/jp/podcast/3-%E6%AB%BB%E5%9D%8246-3rd-tour-%E5%89%8D%E5%A4%9C%E3%81%AE%E6%88%A6%E3%81%84/id1680512344?i=1000609785463&uo=4
4,エロゲからの刺客,2023-04-27,2567,43,9b6ecb62-e4d0-11ed-906f-776fdc99de2a,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS7954249773.mp3?updated=1682583579,https://podcasts.apple.com/jp/podcast/4-%E3%82%A8%E3%83%AD%E3%82%B2%E3%81%8B%E3%82%89%E3%81%AE%E5%88%BA%E5%AE%A2/id1680512344?i=1000610847108&uo=4
5,愛の逃亡者たち,2023-05-04,2782,46,60e83c00-ea4b-11ed-a8eb-3fe901ac018f,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS8953086793.mp3?updated=1683185153,https://podcasts.apple.com/jp/podcast/5-%E6%84%9B%E3%81%AE%E9%80%83%E4%BA%A1%E8%80%85%E3%81%9F%E3%81%A1/id1680512344?i=1000611716583&uo=4
6,エロゲ雑誌を広げて,2023-05-11,2997,50,8604ded6-efc7-11ed-86fc-c31d7ad80b71,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS4478710951.mp3?updated=1683789390,https://podcasts.apple.com/jp/podcast/6-%E3%82%A8%E3%83%AD%E3%82%B2%E9%9B%91%E8%AA%8C%E3%82%92%E5%BA%83%E3%81%92%E3%81%A6/id1680512344?i=1000612608404&uo=4
7,エロゲリスナー長文メール祭り,2023-05-18,2571,43,cae9b7f6-f54e-11ed-9ae9-b3371f0964f3,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS7939578984.mp3?updated=1684396016,https://podcasts.apple.com/jp/podcast/7-%E3%82%A8%E3%83%AD%E3%82%B2%E3%83%AA%E3%82%B9%E3%83%8A%E3%83%BC%E9%95%B7%E6%96%87%E3%83%A1%E3%83%BC%E3%83%AB%E7%A5%AD%E3%82%8A/id1680512344?i=1000613502503&uo=4
8,主人公は俺なんだよ！,2023-05-25,2800,47,8f7f0bf8-fab2-11ed-9177-a7a734d28025,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS4365052493.mp3?updated=1684988625,https://podcasts.apple.com/jp/podcast/8-%E4%B8%BB%E4%BA%BA%E5%85%AC%E3%81%AF%E4%BF%BA%E3%81%AA%E3%82%93%E3%81%A0%E3%82%88/id1680512344?i=1000614449072&uo=4
9,悲しきコメディアン,2023-06-01,2922,49,42bec14a-004e-11ee-b3ea-5396ba5be78c,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS6153042474.mp3?updated=1685621863,https://podcasts.apple.com/jp/podcast/9-%E6%82%B2%E3%81%97%E3%81%8D%E3%82%B3%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2%E3%83%B3/id1680512344?i=1000615271280&uo=4
10,止まない銃声,2023-06-08,2946,49,a735ce36-05ba-11ee-a47f-d71b1a5b08f5,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS1869272031.mp3?updated=1686202040,https://podcasts.apple.com/jp/podcast/10-%E6%AD%A2%E3%81%BE%E3%81%AA%E3%81%84%E9%8A%83%E5%A3%B0/id1680512344?i=1000616126644&uo=4
11,風が吹いてる,2023-06-15,2946,49,63420dc2-0b53-11ee-8d12-ef1663947df9,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS6712803719.mp3?updated=1686818337,https://podcasts.apple.com/jp/podcast/11-%E9%A2%A8%E3%81%8C%E5%90%B9%E3%81%84%E3%81%A6%E3%82%8B/id1680512344?i=1000617128357&uo=4
12,怒号の果てに,2023-06-22,2719,45,a6807aa2-10e3-11ee-b7c4-1b6d36a3af74,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS6497544398.mp3?updated=1687436347,https://podcasts.apple.com/jp/podcast/12-%E6%80%92%E5%8F%B7%E3%81%AE%E6%9E%9C%E3%81%A6%E3%81%AB/id1680512344?i=1000617954868&uo=4
13,いいか、エロゲは脱ぐし抜く（松崎克俊の伝道）,2023-06-29,2804,47,b68b5e88-1653-11ee-8bfc-4fab383cb157,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS4761367778.mp3?updated=1688026998,https://podcasts.apple.com/jp/podcast/13-%E3%81%84%E3%81%84%E3%81%8B-%E3%82%A8%E3%83%AD%E3%82%B2%E3%81%AF%E8%84%B1%E3%81%90%E3%81%97%E6%8A%9C%E3%81%8F-%E6%9D%BE%E5%B4%8E%E5%85%8B%E4%BF%8A%E3%81%AE%E4%BC%9D%E9%81%93/id1680512344?i=1000618731719&uo=4
14,特訓・ドックン・超発奮！2023夏の上昇気流に乗れ,2023-07-06,3019,50,a6fd9582-1be2-11ee-8a7d-c7376fe05dc6,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS9283289554.mp3?updated=1688638168,https://podcasts.apple.com/jp/podcast/14-%E7%89%B9%E8%A8%93-%E3%83%89%E3%83%83%E3%82%AF%E3%83%B3-%E8%B6%85%E7%99%BA%E5%A5%AE-2023%E5%A4%8F%E3%81%AE%E4%B8%8A%E6%98%87%E6%B0%97%E6%B5%81%E3%81%AB%E4%B9%97%E3%82%8C/id1680512344?i=1000619524154&uo=4
